"","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"1","(Intercept)",-0.31480596671109,0.481621205083419,-0.653638094395293,0.513507619044772,-1.25876618286538,0.629154249443168
"2","SpeciesElk",0.351092041752948,0.491401785483283,0.714470423439054,0.47511679274909,-0.612037759733013,1.31422184323888
"3","SpeciesMoose",0.414800846569801,0.490375743670931,0.845883696172694,0.397836625402878,-0.546317949917282,1.37591964305694
"4","log(EffSpeed + 1):SpeciesWTD",0.78458707401964,1.13370804874483,0.692053897728153,0.489077346089563,-1.43743987050356,3.0066140185425
"5","log(EffSpeed + 1):SpeciesElk",0.244300554091475,0.232647611549148,1.05008838244559,0.293952042551294,-0.211680385634094,0.700281493817077
"6","log(EffSpeed + 1):SpeciesMoose",0.709871615897346,0.222660763200873,3.18813070472114,0.0014801076722822,0.273464539253414,1.14627869254134
"7","SpeciesWTD:log(TotalLight + 1)",0.366235345750522,0.425587027145043,0.860541610507565,0.389713786558212,-0.467899899741257,1.20037059124223
"8","SpeciesElk:log(TotalLight + 1)",0.0976151071491767,0.0757905604883724,1.28795863917846,0.198082813678778,-0.0509316617761179,0.246161876074506
"9","SpeciesMoose:log(TotalLight + 1)",0.134150290421275,0.0759258938910229,1.76685822907561,0.0775820611046358,-0.0146617270991492,0.282962307941701
"10","SpeciesWTD:log(CrepLight + 1)",0.725544905187016,0.881076969429967,0.823475054235527,0.410450382261122,-1.0013342225034,2.45242403287754
"11","SpeciesElk:log(CrepLight + 1)",0.139543889947719,0.134661420556669,1.03625737327638,0.300353199384272,-0.124387644450345,0.40347542434581
"12","SpeciesMoose:log(CrepLight + 1)",-0.0856465843821841,0.135173646224603,-0.63360415860851,0.526495986619766,-0.350582062641382,0.179288893877009
