"","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"1","(Intercept)",-1.16419332360838,0.80138011335165,-1.45273547997007,0.146636709059145,-2.73486948370422,0.406482836487714
"2","SpeciesElk",1.20047939865025,0.80742141306426,1.48680649190896,0.137407061830045,-0.382037491302404,2.78299628860277
"3","SpeciesMoose",1.26418820346709,0.80678408293863,1.56694737811685,0.117469373532592,-0.317079542393018,2.84545594932719
"4","log(EffSpeed + 1):SpeciesWTD",4.328912565907,2.12075728269376,2.04121075109947,0.0415135535249984,0.172304671875715,8.48552045993809
"5","log(EffSpeed + 1):SpeciesElk",0.24430055409147,0.235110031313975,1.03909030476552,0.299034563504527,-0.216506639687995,0.705107747870974
"6","log(EffSpeed + 1):SpeciesMoose",0.709871615897345,0.22501747883834,3.15473988759486,0.00165835059111511,0.268845461482189,1.1508977703125
"7","SpeciesWTD:log(TotalLight + 1)",1.26697566332691,0.468799016145048,2.70259881035011,0.0070061568757027,0.348146475694758,2.18580485095901
"8","SpeciesElk:log(TotalLight + 1)",0.0976151071491742,0.0765927530098911,1.27446923257306,0.202817586651263,-0.0525039302269954,0.247734144525348
"9","SpeciesMoose:log(TotalLight + 1)",0.134150290421275,0.0767295188263253,1.74835307810179,0.0807350016675814,-0.0162368030294138,0.284537383871972
"10","SpeciesWTD:log(CrepLight + 1)",-0.640833451925002,1.38670870716287,-0.462125498033477,0.64410011500519,-3.35873257501273,2.07706567116263
"11","SpeciesElk:log(CrepLight + 1)",0.139543889947719,0.136086721858197,1.02540415436801,0.305440893344176,-0.127181183668456,0.406268963563926
"12","SpeciesMoose:log(CrepLight + 1)",-0.085646584382183,0.136604369093112,-0.62696811932717,0.530835011880136,-0.35338622793554,0.182093059171135
